network,product_id,product,stores,min_price,avg_price,max_price,spread_pct
AUCHAN,1064925,"Pachet Lichior Cu Fructe De Padure, 62% Alcool, 0.75l + 2 Pahare",17,126.95,133.96,154.0,21.3
AUCHAN,1073709,"Aperitiv Florentino Zarea, Visine, 0.5l",17,14.5,15.62,17.5,20.7
MEGA IMAGE SRL,1014291,Bicarbonat Amoniu 7g Dr.Oetker,129,0.49,0.49,0.59,20.4
CORA,1016154,Maggi Secretul Gustului Legume75g,4,2.99,3.14,3.59,20.1
PROFI,1012168,Heinz Ketchup De Rosii 570g,141,1.79,2.01,2.15,20.1
AUCHAN,1093256,Bricheta Bic J38,17,4.5,4.61,5.4,20.0
CARREFOUR,1014319,Drajeuri Mix Fructe 18gtic Tac,54,4.49,4.85,5.39,20.0
CARREFOUR,1023304,Draj Cu Gust Menta 18g Tic Tac,54,4.49,4.84,5.39,20.0
AUCHAN,1082220,Horinca De Prune Chechis 0.2l,14,32.4,36.97,38.8,19.8
CARREFOUR,1010352,Dr.Oetker Crema Prajituri Cu Gust Fructe De Padure 50g,26,5.59,5.87,6.69,19.7
PROFI,1010376,Spornic Bun La Toate Ulei 1l,141,7.49,8.87,8.89,18.7
AUCHAN,1145591,Havana Club 3yo 40% 0.35l,6,31.95,33.93,37.9,18.6
AUCHAN,1021242,Bomb Cioco&Lapte 68g Maltesers,9,7.79,9.04,9.2,18.1
AUCHAN,1076330,Pachet Cadou Vodka Stalinskaya 0.7l Cu 2 Pahare,17,45.9,48.98,54.2,18.1
AUCHAN,1069794,"Irish Whisky Jameson, 50 Ml",16,8.05,9.29,9.5,18.0
AUCHAN,1010392,Riso Scotti Orez Basmati 500g,4,8.99,10.16,10.59,17.8
CARREFOUR,1010620,"Cafea Instant Tchibo Exclusive Decofeinizata, 100 G",39,28.89,29.25,33.99,17.7
PROFI,1018430,Condiment Bors 70g Maggi,142,4.29,4.75,5.05,17.7
AUCHAN,1050482,Absolut Lime 0.70l 40% 6k,16,56.1,62.14,66.0,17.6
PROFI,1006559,Piept Pui Strips Gastro,14,39.9,46.4,46.9,17.5
AUCHAN,1015633,Pachet Bautura Alcoolica Jagermeister 0.7l + 2 Pahare,15,62.95,65.14,73.9,17.4
MEGA IMAGE SRL,1015660,Dr.Oetker Original Pudding Praf Budinca Gust Vanilie 40g,129,1.49,1.5,1.75,17.4
CARREFOUR,1023646,Bomboane Kinder Schokobons 125g,46,14.49,15.41,16.99,17.3
KAUFLAND,1016154,Maggi Secretul Gustului Legume75g,25,3.49,3.8,4.09,17.2
AUCHAN,1015089,Vodka 40% 1.75l Stalinskaya,15,85.5,93.7,100.0,17.0
AUCHAN,1049460,Cocktail Rtd Old Nick Mojito 16% 0.7 L,17,38.7,42.82,45.2,16.8
AUCHAN,1016154,Maggi Secretul Gustului Legume75g,4,2.99,3.24,3.49,16.7
KAUFLAND,1013048,Jacobs Kronung Cafea Macinata 250g,25,29.99,31.99,34.99,16.7
PROFI,1014705,Panzani Malai Pt Mamaliga Rapid 500g,134,5.99,6.92,6.99,16.7
AUCHAN,1033130,Vodca Absolut 0.05 L,16,6.7,7.66,7.8,16.4
AUCHAN,1036401,Lichior De Portocale Grand Marnier 0.7 L,5,128.0,139.4,149.0,16.4
AUCHAN,1089116,Bickens Gin 40%,15,69.8,80.44,81.2,16.3
AUCHAN,1039161,Dry Gin 1l 40%  Wembley,17,57.3,65.96,66.5,16.1
AUCHAN,1015719,Barilla Spaghete No.5,3,4.99,5.52,5.79,16.0
AUCHAN,1034213,Vodka Stalinskaya 0.2l,16,12.25,13.1,14.2,15.9
AUCHAN,1044054,Bautura Spirtoasa Saniuta 0.5l,17,15.45,16.84,17.9,15.9
CARREFOUR,1010554,Cub Aliment Gust Gaina 60g Mag,55,3.79,4.03,4.39,15.8
AUCHAN,1034256,"Vodca Absolut 40% Alc, 0.7 L",17,55.0,56.84,63.6,15.6
PROFI,1010272,Cafea  Exclusive Intense. 250g,74,25.99,29.68,29.99,15.4
AUCHAN,1043809,Finlandia 40% 1.75l,8,112.0,122.88,129.0,15.2
AUCHAN,1065568,Vodka 40% 0.5l Stalinskaya,16,25.95,28.38,29.9,15.2
CARREFOUR,1013742,Kfc Sos Cu Usturoi,54,16.49,17.52,18.99,15.2
MEGA IMAGE SRL,1014152,Cafea Boabe  Beans 500gjacobs,129,54.99,55.38,63.29,15.1
AUCHAN,1021132,"Scotch Whisky Johnnie Walker, Red Label 0.2 L",15,23.5,26.53,27.0,14.9
AUCHAN,1026177,Captain Morgan Tiki 0.7l,17,66.5,72.96,76.4,14.9
AUCHAN,1090426,Crema Di Whisky 0.5l Angelli,17,26.9,27.89,30.9,14.9
AUCHAN,1014679,Baneasa Malai 1kg,6,3.39,3.81,3.89,14.7
AUCHAN,1026963,Cf Plantation Rum Dark 40% 0.7,17,74.95,79.32,85.9,14.6
AUCHAN,1019753,"Gin Wembley Pink, 37.5%, 0.7l",12,44.9,49.77,51.4,14.5
AUCHAN,1024443,"Cocktail Rtd Old Nick Pinacolada, 0.7l",17,38.7,42.35,44.3,14.5
PROFI,1010610,Sly Tableta Dietetica De Lapte  25gr,70,2.35,2.51,2.69,14.5
AUCHAN,1014023,"Bricheta Clipper, Diverse Modele",15,3.5,3.67,4.0,14.3
AUCHAN,1023258,Havana Club Spiced 35% 0.70l,15,69.9,72.57,79.9,14.3
AUCHAN,1063247,Bricheta Atomic Midi Hard Colors,15,2.1,2.14,2.4,14.3
CARREFOUR,1010591,Panzani Paste Tagliatelle 500g,20,10.49,10.85,11.99,14.3
MEGA IMAGE SRL,1014705,Panzani Malai Pt Mamaliga Rapid 500g,129,6.99,7.47,7.99,14.3
MEGA IMAGE SRL,1016154,Maggi Secretul Gustului Legume75g,122,3.49,3.74,3.99,14.3
MEGA IMAGE SRL,1016588,Tassimo Cappuccino Capsule 260g,129,37.69,39.82,43.09,14.3
AUCHAN,1012227,Scotch Whisky Ballantine'S Finest 0.5 L,11,43.75,44.31,49.95,14.2
AUCHAN,1013607,"Bautura Spirtoasa Prodvinalco V33, 1 L",16,31.9,34.51,36.4,14.1
MEGA IMAGE SRL,1013565,Ketchup Picant 500g Tomi,129,9.99,10.05,11.39,14.0
CARREFOUR,1020843,Cioc Cu Lapte Din Stevia 25 G,44,3.59,3.9,4.09,13.9
AUCHAN,1049795,"Bautura Spirtoasa Alba V33, 0.5 L",12,16.7,17.63,19.0,13.8
CARREFOUR,1010771,Maille Dijon Mustar Fin 215 G,28,12.29,13.05,13.99,13.8
PROFI,1013020,Dr Oetker Drojdie Uscata Instant7g,141,1.89,2.01,2.15,13.8
PROFI,1015719,Barilla Spaghete No.5,140,5.79,6.2,6.59,13.8
AUCHAN,1037164,Smirnoff Ice 0.275 L 4%,17,8.5,9.25,9.65,13.5
AUCHAN,1053111,"Premium Vodka Original Stalinskaya, 1l",17,51.9,56.75,58.9,13.5
AUCHAN,1054733,Crema Whisky Bailey`S 17% 0.7l,17,82.9,87.51,94.1,13.5
AUCHAN,1087306,Digestiv Ricard Pastis De Marseille 0.7 L,6,66.9,72.73,75.9,13.5
AUCHAN,1074740,"Pachet Cadou London Dry Gin + Pahar Tanqueray Alcool 43%, 0.7l",16,89.95,92.96,102.0,13.4
CARREFOUR,1010681,"Pasta De Tomate Sultan, Concentratie 24%, 400 G",23,15.49,16.31,17.49,12.9
AUCHAN,1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",15,4.79,5.31,5.39,12.5
AUCHAN,1010591,Panzani Paste Tagliatelle 500g,11,7.99,8.08,8.99,12.5
AUCHAN,1011401,Vodca Absolut Citron 0.7 L,8,60.0,63.35,67.5,12.5
AUCHAN,1020843,Cioc Cu Lapte Din Stevia 25 G,7,3.19,3.53,3.59,12.5
AUCHAN,1023304,Draj Cu Gust Menta 18g Tic Tac,12,3.99,4.45,4.49,12.5
AUCHAN,1073634,Mix Cocktail Kamikaze  4% 0.33,17,7.7,8.54,8.65,12.3
AUCHAN,1115041,J.Daniel'S 0.7l Ctn 40% 2pah,17,106.95,110.77,119.95,12.2
AUCHAN,1064349,Gentleman Jack 0.7l,9,115.95,119.74,130.0,12.1
AUCHAN,1068445,"Crema De Whisky Zarea Royal, 0.5l",17,26.95,29.05,30.2,12.1
PROFI,1007480,Pulpe Intregi La Cuptor /Kg,5,24.9,25.5,27.9,12.0
PROFI,1018736,"Coniac Metaxa 12* Alc. 40%, 0.700l",81,2.99,3.11,3.35,12.0
PROFI,1002384,File Piept Pui La Gratar /Kg,23,41.9,45.33,46.9,11.9
AUCHAN,1014152,Cafea Boabe  Beans 500gjacobs,14,50.99,55.28,56.99,11.8
AUCHAN,1048643,Whisky 1l J&B Rare 40%,17,62.6,66.92,69.95,11.7
AUCHAN,1109146,Lichior Cafea 0.5l Sheridan'S,16,77.8,81.79,86.9,11.7
AUCHAN,1057671,"Bautura Spirtoasa Prodvinalco R26, 0.5 L",16,13.9,14.65,15.5,11.5
AUCHAN,1074711,Dimple De Luxe 0.7l 43%,8,178.4,193.31,198.85,11.5
AUCHAN,1091343,Horinca De Maramures Din Prune 0.5 L,15,84.3,92.06,94.0,11.5
PROFI,1013446,Chips Cu Gust Ardei 165gpring,138,12.99,13.44,14.49,11.5
AUCHAN,1010988,Garrone Cherry 16% Vol. 1l,5,29.9,32.62,33.3,11.4
AUCHAN,1022656,Pachet Cadou Whisky Chivas Regal 0.7 L + 2 Pahare,17,122.95,126.24,136.95,11.4
AUCHAN,1059308,Vodka Premium Tazovsky 0.7 L,17,35.9,36.14,40.0,11.4
CARREFOUR,1018430,Condiment Bors 70g Maggi,19,4.39,4.55,4.89,11.4
AUCHAN,1014291,Bicarbonat Amoniu 7g Dr.Oetker,8,0.53,0.55,0.59,11.3
AUCHAN,1089396,Pachet Cadou Whiskey Jack Daniel'S Honey 0.7 L,9,106.95,110.97,119.0,11.3
AUCHAN,1035892,Aperol 1l.,17,83.65,88.6,93.0,11.2
AUCHAN,1015251,Vermut Alb Zarea 1l A15%,5,31.95,32.66,35.5,11.1
AUCHAN,1024418,Bfl Zarea Cherry Aperitiv Baut. 16% 1l,17,31.95,33.2,35.5,11.1
CARREFOUR,1043842,Tigari Pall Mall Extra Cut Balance (Blue),22,8.99,9.18,9.99,11.1
AUCHAN,1228369,"Chivas Regal Whiskey, 12yo, 40% Alcool, 0.2l",14,38.2,41.5,42.4,11.0
PROFI,1011348,Cus Cus 500g Panzani,129,8.69,9.15,9.65,11.0
PROFI,1010287,Antonio Di Vaio Fusilli 3 Minute 500g,81,6.99,7.31,7.75,10.9
AUCHAN,1028465,Bautura Spirtoasa R26 1 L,8,30.2,31.8,33.4,10.6
AUCHAN,1039543,Horinca De Maramures Din Prune 0.7 L,16,94.0,101.5,104.0,10.6
CARREFOUR,1013048,Jacobs Kronung Cafea Macinata 250g,55,34.79,35.46,38.49,10.6
AUCHAN,1010545,Hellmanns Original Sos Maioneza 625ml,4,18.99,19.49,20.99,10.5
AUCHAN,1011108,Havana Club 3yo 0.7l,17,61.7,63.21,68.1,10.4
AUCHAN,1037765,Bautura Alcoolica Jagermeister 0.7 L,17,55.6,57.99,61.4,10.4
CARREFOUR,1014679,Baneasa Malai 1kg,55,3.89,4.07,4.29,10.3
PROFI,1014629,M&M'S Choco 45gr,141,4.85,5.03,5.35,10.3
PROFI,1017576,"Bomboane M&M' S Cu Arahide, 45g",142,4.85,5.03,5.35,10.3
AUCHAN,1052767,Bautura Spirtoasa Saniuta 2l,7,57.95,61.29,63.8,10.1
AUCHAN,1068161,"Aperitiv Jagermeister, 1.75 L",17,149.0,160.18,164.0,10.1
CARREFOUR,1011709,Bunica Ulei Floarea Soarelui 1l,55,8.49,8.88,9.35,10.1
